Project Type,City,County,Digester Type,Animal/Farm Type(s),Cattle,Dairy,Poultry,Swine,Biogas Generation Estimate (cu-ft/day),Electricity Generated (kWh/yr),Biogas End Use(s),Receiving Utility,Total Emission Reductions (MTCO2e/yr),Awarded USDA Funding?
Farm Scale,Hanford,Kings,Covered Lagoon,Dairy,,6500,,,325000,,CNG,,,
Farm Scale,Chowchilla,Madera,Covered Lagoon,Dairy,,,,,,,CNG,Pacific Gas and Electric Company,,
Farm Scale,Ceres,Stanislaus,Covered Lagoon,Dairy,,8350,,,,,Boiler/Furnace fuel; CNG,Pacific Gas and Electric Company,74244.3665,
Farm Scale,El Nido,Merced,Covered Lagoon,Dairy,,9500,,,475000,,CNG,Pacific Gas and Electric,84469.63854,
Farm Scale,Visalia,Tulare,Covered Lagoon,Dairy,,10700,,,535000,,CNG,,95139.48761,
Farm Scale,Hanford,Kings,Covered Lagoon,Dairy,,,,,,,CNG,SoCalGas,,
Farm Scale,Tulare,Tulare,Covered Lagoon,Dairy,,8300,,,415000,,CNG,,73799.78946,
Farm Scale,Tipton,Tulare,Covered Lagoon,Dairy,,4800,,,240000,,CNG,,42679.39631,
Farm Scale,Tulare,Tulare,Covered Lagoon,Dairy,,2000,,,100000,,CNG,,17783.0818,
Farm Scale,Visalia,Tulare,Covered Lagoon,Dairy,,6500,,,325000,,CNG,,57795.01584,
Farm Scale,Porterville,Tulare,Covered Lagoon,Dairy,,4000,,,200000,,CNG,SoCalGas,35566.16359,
Farm Scale,Modesto,Stanislaus,Complete Mix,Dairy,,2513,,,165000,3324000,Cogeneration,Modesto Irrigation District,10256.50681,Yes
Farm Scale,Merced,Merced,Covered Lagoon,Dairy,,2000,,,,,CNG,Pacific Gas and Electric Company,17783.0818,
Farm Scale,Tipton,Tulare,Covered Lagoon,Dairy,,5200,,,,,CNG,SoCalGas,46236.01267,
Farm Scale,Tulare,Tulare,Covered Lagoon,Dairy,,6500,,,325000,,CNG,,57795.01584,
Farm Scale,Visalia,Tulare,Covered Lagoon,Dairy,,6500,,,325000,,CNG,,57795.01584,
Farm Scale,Los Banos,Merced,Covered Lagoon,Dairy,,4700,,,,,CNG,,41790.24222,
Farm Scale,Tulare,Tulare,Covered Lagoon,Dairy,,8300,,,415000,,CNG,,79141.39498,
Farm Scale,Pixley,Tulare,Covered Lagoon,Dairy,,16000,,,800000,,CNG,SoCalGas,142264.6544,
Farm Scale,Hanford,Kings,Covered Lagoon,Dairy,,5333,,,266650,,CNG,SoCalGas,47418.58761,
Farm Scale,Lindsay,Tulare,Covered Lagoon,Dairy,,1500,,,,5072040,Electricity; CNG,,11485.66819,
Farm Scale,Hanford,Kings,Covered Lagoon,Dairy,,2900,,,,,CNG,,31127.07413,
Farm Scale,Merced,Merced,Covered Lagoon,Dairy,,4000,,,200000,,CNG,Pacific Gas and Electric,35566.16359,
Farm Scale,Merced,Merced,Covered Lagoon,Dairy,,,,,,,CNG,Pacific Gas and Electric Company,,
Farm Scale,Tipton,Tulare,Covered Lagoon,Dairy,,10000,,,500000,,CNG,,88915.40899,
Farm Scale,Visalia,Tulare,Covered Lagoon,Dairy,,1400,,,70000,,CNG,,12448.15726,
Farm Scale,Hilmar,Merced,Covered Lagoon,Dairy,,4000,,,200000,,CNG,Pacific Electricty and Gas,35566.16359,
Farm Scale,Wasco,Kern,Covered Lagoon,Dairy,,12500,,,625000,,CNG,SoCalGas,111144.2612,
Farm Scale,Dos Palos,Merced,Covered Lagoon,Dairy,,,,,,,Pipeline Gas,Pacific Gas & Electric,,
Farm Scale,Tipton,Tulare,Covered Lagoon,Dairy,,6500,,,325000,,CNG,SoCalGas,57795.01584,
Farm Scale,Pixley,Tulare,Covered Lagoon,Dairy,,9185,,,459250,,CNG,SoCalGas,81668.80315,
Farm Scale,Crows Landing,Stanislaus,Covered Lagoon,Dairy,,2054,,,101796,,CNG,Pacific Gas and Electric,18263.22501,
Farm Scale,Hanford,Kings,Covered Lagoon,Dairy,,3000,,,150000,,CNG,SoCalGas,26674.6227,
Farm Scale,Pixley,Tulare,Covered Lagoon,Dairy,,2558,,,,,CNG,SoCalGas,22744.56162,
Farm Scale,Tipton,Tulare,Covered Lagoon,Dairy,,6949,,,,,CNG,SoCalGas,61787.3177,
Farm Scale,Hanford,Kings,Covered Lagoon,Dairy,,13400,,,,,CNG,SoCalGas,119146.648,
Farm Scale,Bakersfield,Kern,Covered Lagoon,Dairy,,15800,,,790000,,CNG,,145827.9517,
Farm Scale,Buttonwillow,Kern,Covered Lagoon,Dairy,,9500,,,475000,,CNG,,84469.63854,
Farm Scale,Bakersfield,Kern,Covered Lagoon,Dairy,,6500,,,325000,,CNG,,57795.01584,
Farm Scale,Merced,Merced,Covered Lagoon,Dairy,,,,,,,CNG,Pacific Gas and Electric Company,,
Farm Scale,Visalia,Tulare,Covered Lagoon,Dairy,,5700,,,285000,,CNG,,50681.78312,
