Project Type,City,County,Digester Type,Animal/Farm Type(s),Cattle,Dairy,Poultry,Swine,Biogas Generation Estimate (cu-ft/day),Electricity Generated (kWh/yr),Biogas End Use(s),Receiving Utility,Total Emission Reductions (MTCO2e/yr),Awarded USDA Funding?
Farm Scale,Morris,Stevens,Mixed Plug Flow,Dairy,,6300,,,724500,,CNG,Alliance,48089.01657,
Farm Scale,Triplet,Chariton,Induced Blanket Reactor,Cattle,2500,,,,,4467600,Electricity,Kansas City Power and Light Company,6119.588993,Yes
Research,Columbia,,Complete Mix,Swine,,,,10,,,Flared Full-time,,4.219813525,
Farm Scale,Unionville,Putnam,Covered Lagoon,Swine,,,,31795,,,Pipeline Gas,,35774.90536,
Farm Scale,King City,Gentry,Covered Lagoon,Swine,,,,32000,,,Pipeline Gas,,36005.56602,
Farm Scale,Harris,Sullivan,Covered Lagoon,Swine,,,,14150,,,Pipeline Gas,ANR Interstate Pipeline,15921.21122,
Farm Scale,Albany,Gentry,Covered Lagoon,Swine,,,,28800,,,Pipeline Gas,ANR Interstate Pipeline,32405.00941,
Farm Scale,Mercer,Mercer,Covered Lagoon,Swine,,,,85000,,,Pipeline Gas,,95639.78473,
Farm Scale,Browning,,Covered Lagoon,Swine,,,,24700,,,Pipeline Gas,,27791.79627,
Farm Scale,Green City,Sullivan,Covered Lagoon,Swine,,,,21000,,,Pipeline Gas,ANR Interstate Pipeline,23628.6527,
Farm Scale,Unionville,Putnam,Covered Lagoon,Swine,,,,79500,,,Pipeline Gas,,89451.32807,
Farm Scale,Prentiss,Jefferson Davis,Complete Mix,Poultry,,,270000,,,558450,Cogeneration; Boiler/Furnace fuel,,368.9171146,Yes
Farm Scale,Laurel,Jones,Complete Mix,Poultry,,,84000,,70000,876000,Cogeneration,,615.6148093,Yes
Farm Scale,Montpelier,Clay,Covered Lagoon,Swine,,,,6500,,88700,Cogeneration; Boiler/Furnace fuel,,3951.849099,
Farm Scale,Forest,Scott,Fixed Film/Attached Media,Dairy,,450,,,,306600,Electricity; Boiler/Furnace fuel,,3733.442358,
Farm Scale,Corvallis,Ravalli,Induced Blanket Reactor,Dairy,,750,,,36000,372300,Electricity; Boiler/Furnace fuel,Ravalli County Rural Electric Cooperative,5499.563182,Yes
Farm Scale,Zebulon,Johnston,Complete Mix,Swine,,,,,,,Boiler/Furnace fuel,,,
Farm Scale,Zebulon,Johnston,Covered Lagoon,Swine,,,,4000,28000,,Boiler/Furnace fuel,,2696.942531,
Farm Scale,Cherryville,Gaston,Mixed Plug Flow,Dairy,,1618,,,,,Pipeline Gas,,16328.05962,
Farm Scale,Lillington,Harnett,Covered Lagoon,Swine,,,,6000,,341000,Electricity,South River Electric Membership Corporation (EMC),6647.131892,Yes
Farm Scale,Lillington,Harnett,Covered Lagoon,Swine,,,,7890,32000,275000,Electricity,South River EMC,8617.301634,Yes
Centralized/Regional,Warsaw,Duplin,Unknown or Unspecified,Swine;Poultry,,,,,,,Pipeline Gas,Duke Energy,,
Centralized/Regional,Lilesville,Anson,Unknown or Unspecified,Broiler,,,,,,,Pipeline Gas,Piedmont Natural Gas,,
Farm Scale,Boonville,Yadkin,Covered Lagoon,Swine,,,,8640,50400,483990,Electricity,Surry-Yadkin Electric Membership Corporation,9566.841977,Yes
Farm Scale,Faison,Duplin,Covered Lagoon,Swine,,,,10500,,,Boiler/Furnace fuel,,12630.42546,
Multiple Farm/Facility,Kenansville,Duplin,Covered Lagoon,Swine,,,,60000,,11000000,Pipeline to Electricity,"Piedmont Natural Gas, Duke Energy",71884.38548,Yes
Farm Scale,Magnolia,Duplin,Complete Mix,Swine,,,,42000,,4380000,Electricity; Cogeneration,Four County Electric Membership Coop,47834.54831,
Farm Scale,Magnolia,Duplin,Complete Mix,Swine,,,,30000,,7008000,Electricity; Cogeneration,Four County Electric Membership Coop,36934.28089,
Farm Scale,Bladenboro,Bladen,Mixed Plug Flow,Swine,,,,28000,,4467600,Electricity,North Carolina Electric Membership Corporation,32993.42243,
Centralized/Regional,Monroe,Union,Unknown or Unspecified,Swine,,,,,,,Pipeline Gas,,,
Centralized/Regional,Stantonburg,Wilson,Unknown or Unspecified,Swine,,,,,,,Pipeline Gas,,,
Farm Scale,Candor,Tioga,Horizontal Plug Flow,Dairy,,520,,,42868,613000,Electricity; Cogeneration,New York State Electric & Gas,1812.897853,
Farm Scale,Peru,Clinton,Complete Mix,Dairy,,3500,,,,,Electricity,,31850.80293,
Farm Scale,Scipio Center,Cayuga,Mixed Plug Flow,Dairy,,4443,,,,,,,36140.0813,
Farm Scale,Aurora,Cayuga,Mixed Plug Flow,Dairy,,2400,,,,1068720,Electricity,,7111.652747,Yes
Farm Scale,Varysburg,Wyoming,Mixed Plug Flow,Dairy,,2000,,,,,Cogeneration; Pipeline Gas,Empire interstate gas pipeline,7516.884587,
Centralized/Regional,Auburn,Cayuga,Complete Mix,Dairy,,1255,,,215616,4624000,Cogeneration,New York State Electric and Gas (NYSEG),6618.000617,Yes
Farm Scale,Avon,Livingston,Covered Lagoon,Dairy,,1100,,,77000,,Flared Full-time,,8974.883642,
Farm Scale,Amsterdam,Montgomery,Covered Lagoon,Dairy,,400,,,,,Flared Full-time,,3263.594052,Yes
Farm Scale,King Ferry,Cayuga,Covered Lagoon,Dairy,,800,,,40000,3723000,Electricity,,9182.372135,Yes
Farm Scale,Perry,Wyoming,Mixed Plug Flow,Dairy,,2250,,,,4467600,Cogeneration,,21488.0851,
Farm Scale,Perry,Wyoming,Mixed Plug Flow,Dairy,,2250,,,,,Pipeline Gas,,20872.51927,
Farm Scale,Canton,St. Lawrence,Complete Mix,Dairy,,2300,,,122800,2803200,Electricity,National Grid,6093.603344,Yes
Farm Scale,Clifton Springs,Ontario,Covered Lagoon,Dairy,,700,,,,,,,5711.28959,
Farm Scale,Wilson,Niagra,Complete Mix,Dairy,,1900,,,,,Pipeline Gas,Empire interstate gas pipeline,17625.68294,
Farm Scale,Wilson,Niagra,Complete Mix,Dairy,,1900,,,,,Electricity,,18499.62275,
Farm Scale,Oakfield,Genesee,Mixed Plug Flow,Dairy,,2000,,,,3350700,Electricity,National Grid,18657.98942,
Farm Scale,Oakfield,Genesee,Mixed Plug Flow,Dairy,,2700,,,324000,3350700,Electricity; Pipeline Gas,,24351.90275,
Farm Scale,Stanley,Ontario,Complete Mix,Dairy,,1650,,,182400,,Electricity; Pipeline Gas,,7315.006158,
Farm Scale,LINWOOD,Livingston,Complete Mix,Dairy,,1850,,,432000,,Cogeneration,,19321.48393,Yes
Farm Scale,Genoa,Cayuga,Covered Lagoon,Dairy,,1650,,,115500,,Flared Full-time,,13462.32546,
Farm Scale,Clymer,Chautauqua,Complete Mix,Dairy,,650,,,325000,1717000,Cogeneration,National Grid,2944.182004,
Farm Scale,Scipio Center,Cayuga,Complete Mix,Dairy,,1350,,,113230,2102400,Electricity,,4618.584038,Yes
Farm Scale,Adams,Jefferson,Complete Mix,Dairy,,625,,,36000,381240,Cogeneration,Niagra Mohawk grid,1798.731476,Yes
Centralized/Regional,Union Springs,Cayuga,Mixed Plug Flow,Dairy,,3360,,,,2749000,Electricity,NYSEG,29291.32679,
Farm Scale,Perry,Wyoming,Horizontal Plug Flow,Dairy,,1800,,,111400,1226400,Cogeneration,New York State Electric and Gas (NYSEG),13290.70436,Yes
Farm Scale,Scipio Center,Cayuga,Mixed Plug Flow,Dairy,,3200,,,,6615552,Electricity,,13184.05083,
Farm Scale,Warsaw,Wyoming,Mixed Plug Flow,Dairy,,850,,,132000,2102400,Electricity,New York State Electric and Gas (NYSEG),3748.16468,
Farm Scale,Warsaw,Wyoming,Mixed Plug Flow,Dairy,,1840,,,132000,,Pipeline Gas,Empire interstate gas pipeline,5493.277211,
Multiple Farm/Facility,Covington,Wyoming,Complete Mix,Dairy,,2000,,,269800,16910000,Electricity,,17351.15706,
Farm Scale,Skaneateles,Cayuga,Horizontal Plug Flow,Dairy,,1900,,,100000,420480,Electricity; Boiler/Furnace fuel,National Grid,4059.857715,
Farm Scale,Poestenkill,Rensselear,Complete Mix,Dairy,,350,,,,876000,Cogeneration,National Grid,1550.711917,
Farm Scale,Fort Ann,Washington,Complete Mix,Dairy,,1350,,,99165,1396096,Cogeneration,National Grid,4567.243873,Yes
Farm Scale,King Ferry,Cayuga,Mixed Plug Flow,Dairy,,3500,,,,,Pipeline Gas,,32468.36332,
Farm Scale,King Ferry,Cayuga,Mixed Plug Flow,Dairy,,3500,,,,7446000,Cogeneration,,33779.9347,
Farm Scale,Clifton Springs,Ontario,Covered Lagoon,Dairy,,1050,,,84000,,Flared Full-time,,8566.934386,
Farm Scale,Ogdensburg,St. Lawrence,Complete Mix,Dairy,,6000,,,630000,,Cogeneration,,18277.36934,Yes
Farm Scale,Byron,Genesee,Complete Mix,Dairy,,1800,,,116328,2102400,Cogeneration,National Grid,5899.584461,Yes
Farm Scale,Byron,Genesee,Complete Mix,Dairy,,1800,,,116328,,Pipeline Gas,Empire interstate gas pipeline,6300.419573,
Farm Scale,Montpelier,Williams,Mixed Plug Flow,Dairy,,3350,,,429000,3100000,Cogeneration,"Buckeye Power, Inc.",28321.52119,Yes
Farm Scale,Haviland,Paulding,Mixed Plug Flow,Dairy,,2100,,,,2860000,Electricity,,19083.03955,Yes
Farm Scale,Circleville,Pickaway,Covered Lagoon,Dairy,,1000,,,,,Flared Full-time,,8139.208967,Yes
Farm Scale,West Unity,Williams,Complete Mix,Dairy,,1810,,,,2978400,Electricity,Pennsylvania Electric Company (Penelec),7474.801143,Yes
Farm Scale,Fairborn,Greene,Complete Mix,Swine,,,,5000,,,Electricity,,4273.284419,Yes
Farm Scale,Cardington,Morrow,Complete Mix,Swine,,,,7000,200919,7008000,Electricity; Boiler/Furnace fuel; CNG,Consolidated Electric Cooperative,7560.738511,Yes
Farm Scale,Ft Recovery,Mercer,Mixed Plug Flow,Poultry,,,1200000,,,7008000,Cogeneration,"Buckeye Power, Inc.",44642.07486,Yes
Farm Scale,Turpin,Beaver,Covered Lagoon,Swine,,,,26500,,,Boiler/Furnace fuel,,9360.376914,
Farm Scale,Tillamook,Tillamook,Mixed Plug Flow,Dairy,,2500,,,,5700000,Electricity,Pacific Power & Light (PacifCorp),22511.48083,Yes
Multiple Farm/Facility,Tillamook,Tillamook,Mixed Plug Flow,Dairy,,2000,,,,8234400,Electricity,Tillamook People's Utility District (TPUD),20629.70795,Yes
Farm Scale,Junction City,Lane,Anaerobic Sequencing Batch Reactor,Dairy,,1027,,,,1500000,Electricity,Emerald People's Utility District,7029.997828,
Farm Scale,Aumsville,Marion,Anaerobic Sequencing Batch Reactor,Dairy,,750,,,,1228590,Electricity; Cogeneration,Pacific Power,5188.409909,
Farm Scale,Dayton,Yamhill,Anaerobic Sequencing Batch Reactor,Dairy,,2540,,,,3100000,Electricity; Cogeneration,PGE,19046.49107,
Farm Scale,Boardman,Morrow,Mixed Plug Flow,Dairy,,33000,,,,,Pipeline Gas,,278774.22,
Farm Scale,Cochranville,Chester,Mixed Plug Flow,Dairy,,825,,,,,Electricity,PECO,4215.318982,
Farm Scale,Conneautville,Crawford,Complete Mix,Dairy,,1600,,,247000,3225000,Cogeneration,Pennsylvania Power and Light (PPL) Electric Utilities Corp.,7004.757565,Yes
Farm Scale,Homer City,Indiana,Horizontal Plug Flow,Dairy,,425,,,33000,334719,Cogeneration,,1488.412576,
Farm Scale,Mount Joy,Lancaster,Complete Mix,Dairy,,1225,,,90000,1025303,Cogeneration,Pennsylvania Power and Light (PPL) Electric Utilities Corp.,3359.940462,Yes
Farm Scale,Selinsgrove,Schuykill,Vertical Plug Flow,Swine,,,,1200,,163812,Cogeneration,,556.1558183,
Farm Scale,Berlin,Somerset,Horizontal Plug Flow,Dairy,,400,,,44214,157108,Cogeneration,CCS/Allegheny Electrical Cooperative,1288.231703,Yes
Farm Scale,Ulysses,Potter,Horizontal Plug Flow,Dairy,,650,,,40930,1103760,Cogeneration,,2503.813227,Yes
Farm Scale,Shippensburg,Cumberland,Complete Mix,Dairy,,800,,,66997,1100000,Cogeneration,Pennsylvania Electric Company (Penelec),2893.533194,Yes
Farm Scale,Rockwood,Somerset,Horizontal Plug Flow,Dairy,,600,,,49054,1200000,Cogeneration,"Allegheny Electric Cooperative, Somerset Rural Electric Company",2620.097987,
Farm Scale,Beavertown,Snyder,Complete Mix,Swine,,,,14000,,1340280,Cogeneration,,12687.15254,Yes
Farm Scale,Belleville,Mifflin,Complete Mix,Dairy,,350,,,,480000,Cogeneration,,1371.490012,
Farm Scale,Mifflintown,Juniata,Complete Mix Mini Digester,Dairy,,340,,,,1182600,Electricity,,3588.152849,
Farm Scale,Lancaster,Lancaster,Complete Mix,Dairy,,700,,,,1226400,Cogeneration,Pennsylvania Power and Light (PPL) Electric Utilities Corp.,2426.827561,
Farm Scale,Newville,Cumberland,Complete Mix,Dairy,,915,,,,833000,Cogeneration,,3167.802363,
Farm Scale,Gettysburg,Adams,Horizontal Plug Flow,Dairy,,2300,,,,4467600,Cogeneration,,21753.58948,
Farm Scale,Bethel,Berks,Complete Mix,Dairy,,500,,,,730000,Electricity,,1990.855309,
Farm Scale,Nottingham,Chester,Complete Mix,Cattle; Swine,130,,,4400,,262800,Electricity,,1226.544781,
Farm Scale,Manheim,Lancaster,Complete Mix,Dairy,,400,,,,1051200,Cogeneration,Pennsylvania Power and Light (PPL) Electric Utilities Corp.,3978.80661,
Farm Scale,Williamsburg,Blair,Complete Mix,Dairy,,800,,,50000,1261440,Cogeneration,Valley Rural Electric Co-op,3252.008408,Yes
Farm Scale,Berlin,Somerset,Complete Mix,Dairy,,600,,,30363,395259,Electricity,Pennsylvania Electric Company (Penelec),2046.169582,
Farm Scale,Danville,Northumberland,Complete Mix,Swine,,,,4400,11200,66430,Electricity,,1658.245123,
Farm Scale,Mifflintown,Juniata,Complete Mix,Dairy,,800,,,288000,,Cogeneration,Pennsylvania Power and Light (PPL) Electric Utilities Corp.,5770.997117,Yes
Farm Scale,Mifflintown,Juniata,Complete Mix,Dairy,,320,,,78765,1552452,Electricity,Pennsylvania Power and Light (PPL) Electric Utilities Corp.,1425.184461,Yes
Farm Scale,Roaring Branch,Tioga,Complete Mix,Swine,,,,8800,,1419120,Electricity,Penelec,4233.830298,Yes
Farm Scale,Quarryville,Lancaster,Complete Mix,Dairy,,787,,,,1401600,Electricity,,3313.742271,
Farm Scale,Loganton,Clinton,Horizontal Plug Flow,Dairy,,650,,,85000,1600000,Cogeneration,Pennsylvania Power and Light (PPL) Electric Utilities Corp.,3052.394686,
Farm Scale,Kirkwood,Lancaster,Complete Mix,Dairy; Poultry; Swine,,250,33000,2200,49093,879666,Cogeneration,Pennsylvania Power and Light (PPL) Electric Utilities Corp.,3258.125604,Yes
Farm Scale,St. Thomas,Franklin,Covered Lagoon,Dairy,,790,,,,483990,Cogeneration,West Penn Power,1411.125911,
Farm Scale,Narvon,Lancaster,Complete Mix,Dairy,,400,,,60561,688373,Cogeneration,Pennsylvania Power and Light (PPL) Electric Utilities Corp.,1667.121401,Yes
Farm Scale,Mount Joy,Lancaster,Complete Mix,Dairy,,1100,,,170206,3354762,Cogeneration,Pennsylvania Power and Light (PPL) Electric Utilities Corp.,5627.070758,Yes
Farm Scale,Nesmith,Williamsburg,Covered Lagoon,Swine,,,,9600,,1340280,Cogeneration,Santee Cooper,11336.26389,
Farm Scale,Lamar,Darlingon,Horizontal Plug Flow,Poultry,,,150000,,,4020840,Electricity,Santee Cooper,8583.29128,
Multiple Farm/Facility,Sumter,,Covered Lagoon,Poultry,,,,,,,Cogeneration,,8258.122139,
Farm Scale,Baltic,Minnehaha,Complete Mix,Dairy,,3595,,,,,Pipeline Gas,,33733.562,
Farm Scale,Lake Norden,Hamlin,Complete Mix,Dairy,,6500,,,,,Pipeline Gas,,60992.53212,
Farm Scale,Milbank,Grant,Plug Flow - Unspecified,Dairy,,2400,,,,2792250,Electricity; Cogeneration; Boiler/Furnace fuel,,8835.523648,
Farm Scale,Sherman,Minnehaha,Complete Mix,Dairy,,6244,,,,,Pipeline Gas,,58590.3647,
Farm Scale,Baltic,Minnehaha,Complete Mix,Dairy,,1160,,,,,Pipeline Gas,,10884.82112,
Farm Scale,Revillo,Grant,Complete Mix,Dairy,,5000,,,,,Pipeline Gas,,46917.3324,
Farm Scale,Hico,Hamilton,Mixed Plug Flow,Dairy,,3712,,,,,Pipeline Gas,,38978.60797,
Farm Scale,Friona,Parmer,Complete Mix,Dairy,,7500,,,668160,,Pipeline Gas,Atmos Pipeline,78755.26934,
Farm Scale,Dumas,Moore,Covered Lagoon,Dairy,,2250,,,,,Pipeline Gas,,23400.00063,
Farm Scale,Dalhert,Hartley,Covered Lagoon,Dairy,,32500,,,2000000,,Pipeline Gas,,338000.0091,
Centralized/Regional,Dalhart,,Covered Lagoon,Swine,,,,42000,1050000,,CNG,,77948.54763,
Farm Scale,Dublin,Erath,Mixed Plug Flow,Dairy,,7205,,,,,Pipeline Gas,,75657.56208,
Farm Scale,Dalhart,Dallam,Covered Lagoon,Swine,,,,10000,,,Boiler/Furnace fuel,,12028.97663,
Farm Scale,Dalhart,Dallam,Covered Lagoon,Swine,,,,108000,,,Boiler/Furnace fuel,,129912.9476,
Farm Scale,Dimmit,Hart,Complete Mix,Dairy,,,,,,,,,,
Farm Scale,Como,Hopkins,Mixed Plug Flow,Dairy,,4628,,,,,CNG,,43383.24279,
Multiple Farm/Facility,Dumas,Moore,Covered Lagoon,Dairy,,37500,,,,,Pipeline Gas,,390000.0105,
Farm Scale,Benson,Cache,Induced Blanket Reactor,Swine,,,,650,,297840,Cogeneration,,423.144882,
Multiple Farm/Facility,Milford,,Covered Lagoon,Swine,,,,239200,623000,,Pipeline Gas,Dominion Energy,252435.0054,
Farm Scale,Chester,Sanpete,Induced Blanket Reactor,Dairy,,750,,,,368580,Electricity,,6321.347572,
Farm Scale,West Weber,Weber,Induced Blanket Reactor,Dairy,,1200,,,70000,823440,Cogeneration,PacifiCorp,3638.197705,
Farm Scale,Chatham,Pittsylvania,Mixed Plug Flow,Dairy,,1200,,,,3350700,Cogeneration,Dominion Virginia Power,6317.053426,Yes
Farm Scale,Bridport,Addison,Mixed Plug Flow,Dairy,,3900,,,,4204800,Cogeneration,Vermont Electric Cooperative,9483.371104,Yes
Farm Scale,North Troy,Orleans,Complete Mix,Dairy,,1700,,,111114,1600000,Cogeneration,Vermont Electric Cooperative,13410.88048,Yes
Farm Scale,Vergennes,Addison,Mixed Plug Flow,Dairy,,1200,,,,2700000,Cogeneration,Green Mountain Power (GMP) (formerly Central Vermont Public Service (CVPS)),10586.62227,Yes
Farm Scale,Bristol,Addison,Mixed Plug Flow,Dairy,,1200,,,,3350700,Cogeneration,Green Mountain Power (GMP),5064.031689,Yes
Farm Scale,Bakersfield,Franklin,Mixed Plug Flow,Dairy,,950,,,,780000,Cogeneration,Emosburg Electric,2673.489985,
Farm Scale,Salisbury,Addison,Complete Mix,Dairy,,900,,,383562,,Pipeline Gas,Vermont Gas,7235.445307,
Farm Scale,Sheldon,Frankin,Mixed Plug Flow,Dairy,,1050,,,115500,1800000,Cogeneration,Green Mountain Power (GMP) (formerly Central Vermont Public Service (CVPS)),3623.801503,Yes
Farm Scale,Greensboro,Orleans,Mixed Plug Flow,Dairy,,45,,,,,Boiler/Furnace fuel,,157.2949805,
Farm Scale,Enosburg Falls,Franklin,Mixed Plug Flow,Dairy,,850,,,,1675350,Cogeneration,Green Mountain Power (GMP) (formerly Central Vermont Public Service (CVPS)),3089.175441,Yes
Farm Scale,Coventry,Orleans,Mixed Plug Flow,Dairy,,750,,,,1750000,Cogeneration,Vermont Electric Cooperative,2919.550788,Yes
Farm Scale,Weybridge,Addison,Mixed Plug Flow,Dairy,,500,,,,788400,Cogeneration,Green Mountain Power (GMP) (formerly Central Vermont Public Service (CVPS)),1676.593458,Yes
Farm Scale,Swanton,Franklin,Mixed Plug Flow,Dairy,,1200,,,132000,1400000,Cogeneration,Green Mountain Power (GMP) (formerly Central Vermont Public Service (CVPS)),3672.823661,Yes
Farm Scale,Berkshire,Franklin,Mixed Plug Flow,Dairy,,1950,,,220000,3500000,Cogeneration,Green Mountain Power (GMP) (formerly Central Vermont Public Service (CVPS)),6841.988848,Yes
Farm Scale,Putney,Windham,Mixed Plug Flow,Dairy,,1200,,,,1642500,Cogeneration,Green Mountain Power,3845.770781,Yes
Farm Scale,Lynden,Whatcom,Mixed Plug Flow,Dairy,,2500,,,,6175800,Electricity,Puget Sound Energy,24657.48577,
Farm Scale,Lynden,Whatcom,Mixed Plug Flow,Dairy,,2000,,,,6175800,Cogeneration,Puget Sound Energy,20606.88497,Yes
Multiple Farm/Facility,Mount Vernon,Skagit,Mixed Plug Flow,Dairy,,1500,,,,6175800,Electricity,Puget Sound Energy,16556.28416,Yes
Farm Scale,Outlook,Yakima,Mixed Plug Flow,Dairy,,4000,,,387360,9881280,Cogeneration,Pacific Power & Light (PacifCorp),39451.97724,Yes
Multiple Farm/Facility,Monroe,Snohomish,Mixed Plug Flow,Dairy,,2000,,,,3705480,Electricity,Snohomish County PUD,18845.09227,Yes
Multiple Farm/Facility,Enumclaw,King,Mixed Plug Flow,Dairy,,1500,,,,8234400,Electricity,Puget Sound Energy,18024.44475,
Farm Scale,Lynden,Whatcom,Complete Mix,Dairy,,800,,,,2803200,Electricity,Puget Sound Energy,4173.803979,
Farm Scale,Lynden,Whatcom,Mixed Plug Flow,Dairy,,1000,,,,4467600,Electricity,Puget Sound Energy,8482.68719,Yes
Farm Scale,Dorchester,Clark,Mixed Plug Flow,Dairy,,2500,,,,,Electricity; Boiler/Furnace fuel,Dairyland Power Cooperative,23475.0975,
Farm Scale,Dorchester,Clark,Mixed Plug Flow,Dairy,,1250,,,,2233800,Electricity,Dairyland Power Cooperative,11728.17751,
Farm Scale,Baldwin,Saint Croix,Mixed Plug Flow,Dairy,,1050,,,130000,,Boiler/Furnace fuel,,9938.976991,Yes
Centralized/Regional,Greenleaf,Brown,Complete Mix,Dairy,,30000,,,,,Pipeline Gas,,34165.38635,
Farm Scale,Mondovi,Dunn,Unknown or Unspecified,Dairy,,5200,,,,,Pipeline Gas,,48083.8794,
Farm Scale,Nekoosa,Wood,Mixed Plug Flow,Dairy,,3900,,,407000,6307200,Electricity,Dairyland Power Cooperative,36119.60345,Yes
Farm Scale,Campbellsport,Fond du Lac,Mixed Plug Flow,Dairy,,2000,,,,,Pipeline Gas,,18493.79977,Yes
Farm Scale,Waterloo,Dodge,Complete Mix,Dairy,,2450,,,223000,1801515,Cogeneration,"WE Energies, Inc.",6394.961432,
Farm Scale,Casco,Kewaunee,Mixed Plug Flow,Dairy,,3000,,,,5956800,Electricity; Pipeline Gas,Wisconsin Public Service Corporation,28572.45547,Yes
Farm Scale,New Franken,Kewaunee,Mixed Plug Flow,Dairy,,3000,,,242000,4432560,Cogeneration; Boiler/Furnace fuel,Wisconsin Public Service Corporation,11072.57947,Yes
Farm Scale,New Franken,Kewaunee,Mixed Plug Flow,Dairy,,3157,,,,,CNG,,8325.375847,Yes
Farm Scale,Brillion,Calumet,Mixed Plug Flow,Dairy,,2400,,,250000,,Pipeline Gas,,9062.309791,Yes
Centralized/Regional,Middleton,Dane,Complete Mix,Dairy,,4200,,,,,Pipeline Gas,,38836.97952,
Centralized/Regional,Vienna,Dane,Complete Mix,Dairy,,2500,,,,,Pipeline Gas,ANR Pipeline Company,23117.24971,
Farm Scale,Kewaunee,Kewaunee,Mixed Plug Flow,Dairy,,1700,,,231000,,Pipeline Gas,,6419.136102,Yes
Farm Scale,Elk Mound,Dunn,Complete Mix,Dairy,,1100,,,,Project Name,Flared Full-time,"Dairyland Power Cooperative; Stargest Power, LLC",8918.85904,Yes
Farm Scale,Grantsburg,Burnett,Covered Lagoon,Dairy,,800,,,,,Flared Full-time,,6506.237785,Yes
Farm Scale,Nelsonville,Portage,Mixed Plug Flow,Dairy,,850,,,93501,876051,Cogeneration,"Alliant Energy, Inc.",2866.334327,Yes
Farm Scale,Krakow,Shawano,Complete Mix,Dairy,,4700,,,600000,,CNG,,38107.85226,Yes
Farm Scale,Newton,Mantiowoc,Mixed Plug Flow,Dairy,,2400,,,,,Cogeneration; CNG,,13914.15873,Yes
Farm Scale,Alma Center,Jackson,Complete Mix,Dairy; Swine,,1900,,2000,,3300000,Cogeneration,Xcel Energy,6543.65375,Yes
Farm Scale,Hilbert,Calumet,Mixed Plug Flow,Dairy,,4000,,,363000,,Pipeline Gas,,15103.84965,Yes
Farm Scale,Hilbert,Calumet,Mixed Plug Flow,Dairy,,4000,,,,,Pipeline Gas,,15103.84965,Yes
Farm Scale,Casco,Kewaunee,Complete Mix,Dairy,,8300,,,1200000,,Pipeline Gas,,31340.48803,
Farm Scale,Sheboygan Falls,Sheboygan,Plug Flow - Unspecified,Dairy,,650,,,,,Electricity,,1714.125531,
Farm Scale,Cleveland,Manitowoc,Mixed Plug Flow,Dairy,,2000,,,,,Cogeneration; CNG,,22151.22459,Yes
Farm Scale,Cleveland,Manitowoc,Mixed Plug Flow,Dairy,,4000,,,,,Electricity; CNG,,35637.17801,
Centralized/Regional,Sun Prairie,Dane,Complete Mix,Dairy,,1300,,,,5000000,Electricity; Cogeneration,"Alliant Energy, Inc.",6994.171061,
Farm Scale,Grand Marsh,Adams,Unknown or Unspecified,Dairy,,9100,,,1200000,,Pipeline Gas,,34361.25796,
Farm Scale,Chili,Clark,Mixed Plug Flow,Dairy,,2600,,,242000,3705360,Cogeneration,Dairyland Power Cooperative,23723.54302,Yes
Farm Scale,Kewaunee,Kewaunee,Mixed Plug Flow,Dairy,,5000,,,,,CNG,,40540.26836,Yes
Farm Scale,Pickett,Winnebago,Complete Mix,Dairy,,10000,,,1050000,,Electricity; Pipeline Gas,,88697.66621,
Farm Scale,Sturgeon Bay,Door,Mixed Plug Flow,Dairy,,6000,,,,,Pipeline Gas,,19561.17401,
Multiple Farm/Facility,Sun Prairie,Dane,Mixed Plug Flow,Dairy,,2100,,,360000,,Pipeline Gas,,7929.521067,Yes
Centralized/Regional,Marshall,Dane,Mixed Plug Flow,Dairy,,2500,,,,,Pipeline Gas,,9439.906032,Yes
Farm Scale,Suring,Oronto,Complete Mix,Dairy,,810,,,,2000000,Cogeneration,Wisconsin Public Service Corporation,7993.891475,Yes
Farm Scale,Pickett,Winnebago,Complete Mix,Dairy,,8500,,,576000,12491760,Electricity,Alliant Energy,77827.37958,
Farm Scale,Oshkosh,Winnebago County,Mixed Plug Flow,Dairy,,185,,,25900,481800,Cogeneration,WPS,831.4785484,
Farm Scale,Fond du Lac,Fond du Lac,Complete Mix,Dairy,,2000,,,,6701400,Cogeneration,"Alliant Energy, Inc.",20995.4386,Yes
Farm Scale,Kewaskum,Fond du Lac,Mixed Plug Flow,Dairy,,825,,,,1675350,Cogeneration,"WE Energies, Inc.",3370.45368,
Farm Scale,Kewaunee,Kewaunee,Mixed Plug Flow,Dairy,,2100,,,,4467600,Electricity,,8724.16486,
Farm Scale,LaFarge,Vernon,Complete Mix,Dairy,,880,,,,Project Name,Flared Full-time,Dairyland Power Cooperative,2320.662257,Yes
Farm Scale,Gillett,Oconto,Mixed Plug Flow,Dairy,,7120,,,,,Pipeline Gas,,65837.92718,
Farm Scale,Carpenter,Laramie,Mixed Plug Flow,Dairy,,6210,,,,,Pipeline Gas,,7046.931809,
Farm Scale,Wheatland,Platte,Complete Mix,Swine,,,,5000,,595680,Electricity,,1176.823992,
Farm Scale,Dos Palos,Merced,Complete Mix,Dairy,,5420,,,,,,,,
Farm Scale,Imperial,Imperial,Covered Lagoon,Dairy,,3300,,,,2233800,Electricity,IDD Energy,,
Farm Scale,San Luis Obispo,San Luis Obispo,Covered Lagoon,Dairy,,175,,,,236520,Electricity,,,
